;"Oil";"Coal";"Gas";"Nuclear";"Hydroelectricity";"Biomass and Waste";"Wind";"Solar, Tide, Wave, Fuel Cell";"Fuel Ethanol";"Geothermal";"Biodiesel"
"1980-01-01 00:00:00";164,780691;137,955387;52,5103801;14,4842239;4,61442088;1,233639;0;0;0;0;
"1981-01-01 00:00:00";149,143482;140,178124;50,028695;16,8964805;4,81685278;1,1321295;0;0;0;0;
"1982-01-01 00:00:00";145,632804;140,536251;46,1201036;19,2295259;4,77631746;1,1285468;0;0;0;0;
"1983-01-01 00:00:00";140,844557;139,7178;47,4557571;20,1565958;4,51934633;0,96637052;0;0;0;0;
"1984-01-01 00:00:00";134,06276;143,292519;50,4884397;27,1807505;4,46677336;1,0308589;0;0;0;0;
"1985-01-01 00:00:00";138,67187;144,350426;49,7378382;36,1241832;4,20390618;1,0315754;0;0;0;0;
"1986-01-01 00:00:00";146,185441;147,027886;50,5589592;33,9998443;4,49404272;1,0010031;0;0;0;0;
"1987-01-01 00:00:00";142,046165;144,258179;54,2401003;36,781833;4,93452882;0,90713674;0;0;0;0;
"1988-01-01 00:00:00";142,333148;141,622604;53,2690072;40,6847494;4,87581374;1,0277539;0,00049134012;0;0;0;
"1989-01-01 00:00:00";134,091595;138,473969;56,1101057;39,4728908;4,43016808;1,0974969;0,00049134012;0;0;0;
"1990-01-01 00:00:00";139,326253;127,249405;55,2914294;37,8185998;4,21520693;1,1416833;0,00073701021;0,00024567006;0;0;
"1991-01-01 00:00:00";147,07367;127,58891;62,524342;36,493393;3,6216681;1,3669151;0,052819066;0,00024567006;0;0;
"1992-01-01 00:00:00";148,10553;113,37125;61,701118;39,308998;4,2311754;1,4839495;0,07148999;0,00098268024;0;0;
"1993-01-01 00:00:00";151,1748;105,04579;63,879421;37,990047;4,3481145;1,4798892;0,16558163;0,00073701021;0;0;
"1994-01-01 00:00:00";149,7751;98,678314;66,932655;37,303734;4,8473163;1,7254227;0,35081685;0,0017196905;0;0;
"1995-01-01 00:00:00";149,40306;93,476585;77,113342;37,894684;5,2971377;1,838158;0,42058715;0,0017196905;0;0;
"1996-01-01 00:00:00";152,26384;92,887505;77,217751;39,608902;5,3401303;1,9062291;0,5105024;0,0029480408;0;0;
"1997-01-01 00:00:00";151,57545;88,821869;73,990189;42,161598;4,2214541;1,9750167;0,745363;0,0044220611;0;0;
"1998-01-01 00:00:00";151,96741;84,147141;76,889549;40,011986;4,1872005;2,3254037;1,1283627;0,0085984524;0;0;
"1999-01-01 00:00:00";147,34979;80,122887;77,645905;42,081348;4,7785282;1,9707175;1,3580642;0,0073701018;0;0;
"2000-01-01 00:00:00";136,4547;82,317467;76,733879;41,982857;5,2855916;2,4173594;2,2975063;0,014740204;0;0;0,21252622
"2001-01-01 00:00:00";138,04335;83,77948;80,233467;42,403397;5,5290504;2,9714818;2,5687263;0,028497728;0;0;0,29822227
"2002-01-01 00:00:00";133,49132;85,187347;80,051781;40,803566;5,624125;2,9898729;3,8953445;0,046185974;0;0;0,46875742
"2003-01-01 00:00:00";131,95882;85,853683;81,077591;40,857502;4,685174;3,5119901;4,6330919;0,081808135;0;0;0,68042666
"2004-01-01 00:00:00";130,81354;86,398621;81,632919;41,353867;5,1261516;3,8294163;6,2667975;0,13683823;0,041024916;0,000049134014;0,86295927
"2005-01-01 00:00:00";129,46713;83,289726;82,390633;40,285572;4,7763176;3,9622145;6,6893501;0,31494904;0,16703001;0,000049134014;1,5313885
"2006-01-01 00:00:00";129,88872;83,714981;84,106979;41,353344;4,8662329;5,095777;7,5445275;0,54538757;0,32233861;0,000098268029;2,3964901
"2007-01-01 00:00:00";118,96787;86,322746;80,68943;34,708824;5,1485076;6,9442058;9,7562952;0,75543547;0,29303512;0,000098268029;2,8228281
"2008-01-01 00:00:00";124,93945;82,022232;84,096069;36,709137;4,9721165;7,8391614;9,9678173;1,0858617;0,38094562;0,0044220611;2,2863708
"2009-01-01 00:00:00";119,76232;77,525131;78,179977;33,278355;4,6286697;8,6464605;9,4924459;1,6174917;0,56776506;0,0046677315;2,0682743
"2010-01-01 00:00:00";121,2563;79,434128;86,313828;34,657494;5,0728412;9,7109966;9,2561111;2,8812184;0,74153167;0,006878762;2,1513994
"2011-01-01 00:00:00";117,61654;80,959259;78,261581;26,658068;4,2508292;10,509697;11,972977;4,8148875;0,77385104;0,0046677315;2,0545628
"2012-01-01 00:00:00";117,54124;84,865211;78,352661;24,518095;5,2487411;12,22461;12,41076;6,4807763;0,78860015;0,0061417515;2,160826
"2013-01-01 00:00:00";119,35933;85,155273;80,245186;24,008333;5,5654097;12,694181;12,664783;7,6182289;0,76431119;0,016459893;1,9427296
"2014-01-01 00:00:00";116,64557;82,830887;72,596611;23,915161;4,7465911;13,577911;14,048643;8,8578796;0,76337522;0,016459893;2,0151427
"2015-01-01 00:00:00";116,10205;82,849037;74,693207;22,619141;4,5859232;13,704739;19,376244;9,5138187;0,7466532;0,022601645;1,8463215
"2016-01-01 00:00:00";116,87453;81,25325;80,746735;20,862972;4,9721165;13,913968;19,21582;9,3595381;0,74723953;0,040535562;1,8424652
